student_id,country,development_level,poverty_rate_percent,internet_infrastructure_index,average_internet_speed_mbps,age,gender,urban_rural,family_income_level,device_access,internet_access_hours,education_level,field_of_study,academic_motivation,online_learning_hours,social_media_hours,sessions_per_day,average_session_length_minutes,late_night_usage,education_content_hours,short_video_hours,entertainment_content_hours,news_content_hours,likes_given_per_day,comments_written_per_day,posts_created_per_week,late_night_score,brain_rot_index,brain_rot_level,attention_span_minutes,study_hours_per_week,class_attendance_rate,productivity_score,sleep_hours,stress_level,anxiety_score,depression_score,ads_viewed_per_day,ads_clicked_per_week,impulse_purchase_score,digital_spending_per_month,cyberbullying_exposure,adult_content_exposure,digital_addiction_score,wellbeing_index,academic_risk_score,financial_risk_score
11,Denmark,Developed,5.21,82.77,129.26,19,Male,Rural,Middle,Laptop,8.101,Dropout,NA,1.65,3.421,3.936,10.62,46.467,1,0.544,2.335,1.058,0.428,59.932,7.511,3.875,0,17.556,1,42.966,15.276,78.766,6.206,5.728,4.987,4.857,3.652,102.819,15.828,4.925,53.29,0,1,12.067,62.983,0.0,42.267
12,India,Developing,21.08,49.23,68.22,18,Female,Urban,Low,Smartphone,4.227,School,NA,6.803,6.622,2.641,8.674,30.635,3,0.272,0.797,1.572,0.137,74.553,1.823,3.629,2,15.896,1,54.45,26.729,88.594,10.0,5.859,5.574,4.963,2.886,74.851,12.48,6.011,33.573,0,0,13.293,56.645,0.0,44.113
13,Bangladesh,Underdeveloped,37.93,39.13,19.06,21,Female,Urban,Middle,Smartphone,3.566,Dropout,NA,4.203,4.506,3.247,11.448,34.612,3,0.4,1.781,1.067,0.262,46.33,2.337,4.918,2,23.092,1,48.445,17.822,96.551,8.437,6.593,5.623,6.527,4.751,100.574,11.823,4.499,38.831,1,1,16.193,55.827,0.0,27.517
14,South Africa,Developing,22.33,69.46,26.6,25,Male,Rural,Middle,Smartphone,5.687,Diploma,Arts,6.757,7.735,4.181,12.48,51.275,2,0.278,1.478,2.425,0.261,108.68,5.143,3.982,1,14.996,1,58.268,21.358,95.455,8.76,5.638,4.875,6.554,4.855,114.688,16.833,4.641,48.194,0,0,14.178,55.857,0.0,31.022
15,France,Developed,6.56,86.96,234.29,21,Male,Rural,Low,Smartphone,3.34,Postgraduate,STEM,6.793,7.776,2.347,6.485,28.164,2,0.738,0.798,0.811,0.768,33.034,3.439,3.832,1,15.43,1,59.3,31.011,95.621,10.0,8.395,2.298,2.372,5.009,58.575,6.044,4.347,40.29,0,0,9.814,70.607,0.0,35.957
16,Kuwait,Developing,33.98,46.91,40.26,19,Male,Rural,Low,Smartphone,4.037,School,NA,5.022,6.338,2.8,8.568,30.894,2,0.559,1.442,0.799,0.702,75.756,2.346,3.323,1,8.53,1,53.273,21.92,96.796,10.0,6.504,5.519,6.085,4.495,90.228,13.795,4.604,51.036,0,0,7.596,56.738,0.0,48.111
17,Japan,Developed,6.56,93.44,122.38,18,Female,Rural,High,Both,5.339,School,NA,5.596,5.208,3.677,10.284,42.421,2,0.496,2.037,1.144,0.337,63.649,8.476,4.588,1,16.197,1,51.7,21.638,100.0,7.685,5.825,5.291,5.019,2.59,100.178,14.616,6.203,105.06,0,0,12.797,58.172,0.0,41.32
18,Thailand,Developing,17.79,50.96,73.77,18,Female,Urban,Middle,Smartphone,4.687,School,NA,4.237,6.525,3.157,11.054,37.274,2,0.565,1.553,1.039,0.436,91.337,5.0,5.821,1,24.22,1,52.109,17.238,86.669,7.537,6.573,3.741,5.238,2.158,100.464,13.813,7.509,76.595,0,1,15.402,64.405,0.0,55.548
19,Denmark,Developed,5.21,82.77,129.26,18,Male,Rural,Middle,Both,6.701,School,NA,4.992,6.238,5.742,15.905,58.752,3,0.852,3.275,1.615,0.486,131.902,10.583,3.697,2,32.323,2,51.575,24.804,79.965,8.266,4.0,7.988,10.0,9.267,154.235,18.077,8.538,89.236,0,1,22.816,37.903,0.0,56.261
20,Peru,Underdeveloped,50.6,32.83,15.05,19,Male,Urban,Low,Smartphone,5.597,School,NA,4.596,7.083,3.408,10.81,44.037,3,0.378,1.449,1.581,0.367,63.58,4.143,3.071,2,21.981,1,51.444,24.97,93.207,7.002,5.866,7.047,6.166,10.0,100.251,9.721,4.242,8.896,0,0,14.766,37.645,0.0,30.062
21,China,Developing,18.67,61.28,72.29,18,Male,Rural,Low,Shared Device,5.166,Dropout,NA,5.072,5.15,5.105,16.471,55.314,3,0.718,2.651,1.737,0.76,96.243,12.978,4.046,2,33.78,2,48.522,19.183,86.835,7.877,5.066,5.766,6.581,7.884,160.155,19.789,8.068,43.782,1,1,23.131,36.184,0.0,59.137
22,Qatar,Developing,16.3,54.93,27.19,20,Male,Rural,Middle,Smartphone,3.778,Postgraduate,Arts,9.048,9.968,2.959,9.385,32.087,3,0.826,1.724,0.409,0.471,75.772,2.862,4.166,2,24.915,1,55.31,30.422,97.359,8.265,6.081,6.202,9.357,4.794,83.328,18.165,6.336,68.132,0,1,14.774,47.14,0.0,40.568
23,Sweden,Developed,11.01,75.9,118.9,17,Female,Urban,Low,Shared Device,5.565,School,NA,4.825,5.1,2.804,9.688,37.982,2,0.432,1.456,0.916,0.274,55.243,5.123,4.311,1,16.952,1,55.334,21.045,89.586,10.0,5.58,4.949,5.725,3.005,65.097,7.246,6.125,38.873,0,0,13.726,63.364,0.0,62.169
24,Japan,Developed,6.56,93.44,122.38,21,Male,Urban,Middle,Smartphone,4.939,Graduate,Medicine,4.417,6.24,3.913,11.443,46.926,1,0.895,1.783,1.235,0.6,88.479,9.299,7.66,0,16.066,1,48.286,25.101,88.75,10.0,5.873,5.975,5.692,6.943,110.203,12.419,5.289,58.476,0,0,11.642,43.397,0.0,49.548
25,China,Developing,18.67,61.28,72.29,16,Other,Rural,Middle,Smartphone,3.302,School,NA,4.602,5.681,3.271,11.903,43.144,2,0.45,1.722,1.099,0.625,63.511,13.112,2.547,1,18.055,1,51.579,19.224,85.756,8.737,6.458,5.253,5.191,5.334,92.811,13.038,4.716,60.315,0,0,12.213,61.549,0.0,35.601
26,Poland,Developing,26.85,55.75,20.42,18,Male,Rural,Low,Smartphone,7.473,School,NA,3.812,5.547,5.848,16.561,58.206,4,0.447,2.531,2.869,0.263,132.242,13.049,7.658,3,42.985,2,40.466,16.628,83.918,4.041,4.0,10.0,7.856,10.0,165.86,17.424,6.903,34.477,0,1,28.846,26.196,3.226,58.629
27,UK,Developed,12.32,93.79,133.44,21,Female,Urban,High,Laptop,6.304,Graduate,Social Sciences,5.286,7.02,2.683,7.244,34.465,1,0.634,1.134,0.915,0.358,42.293,4.688,2.231,0,19.788,1,54.133,25.188,91.532,8.488,6.512,7.52,4.898,8.507,78.84,11.044,4.345,86.264,0,0,10.43,42.016,0.0,29.106
28,Turkey,Developing,20.82,74.61,52.36,21,Female,Rural,Middle,Smartphone,4.504,Graduate,Law,6.429,6.455,2.455,7.684,33.579,2,0.493,1.275,0.687,0.682,74.328,6.108,2.774,1,23.051,1,55.101,25.183,92.227,10.0,7.456,5.608,5.224,6.444,67.058,10.836,5.419,70.468,0,1,14.142,48.068,0.0,40.978
29,Kazakhstan,Developing,31.17,54.76,39.39,18,Male,Urban,Low,Shared Device,2.766,School,NA,4.66,3.958,1.669,3.152,21.717,2,0.21,0.505,0.955,0.138,21.323,3.041,1.617,1,11.938,1,55.08,20.006,94.464,10.0,6.025,3.616,3.491,5.391,58.697,7.96,3.563,0.143,0,1,7.333,62.503,0.0,16.209
30,Mexico,Developing,23.64,47.24,73.55,15,Female,Rural,Middle,Smartphone,6.17,School,NA,6.784,7.233,3.549,8.753,35.642,2,0.487,1.205,1.858,0.462,52.508,10.31,2.754,1,19.967,1,52.639,25.489,91.994,10.0,4.916,6.616,6.881,2.56,108.989,15.162,6.026,60.181,0,0,12.1,52.759,0.0,42.559
31,Vietnam,Developing,30.7,66.87,45.63,22,Male,Urban,Middle,Smartphone,6.174,Graduate,Arts,7.707,7.206,3.294,11.018,47.042,2,0.661,1.661,0.972,0.821,50.126,6.337,4.709,1,25.288,1,58.183,25.569,100.0,8.174,6.477,4.447,5.327,5.446,84.696,11.094,4.79,79.286,1,0,15.82,59.137,0.0,38.603
32,UK,Developed,12.32,93.79,133.44,16,Female,Urban,Low,Shared Device,8.801,School,NA,6.783,8.312,6.807,18.411,74.437,3,1.218,2.12,3.469,1.0,171.181,12.645,5.758,2,25.705,1,56.777,25.429,99.412,8.704,4.5,5.454,5.487,7.524,192.213,25.123,7.892,44.33,0,0,23.668,52.145,0.0,63.724
33,Mexico,Developing,23.64,47.24,73.55,18,Female,Urban,Low,Smartphone,3.816,School,NA,1.853,3.333,2.969,7.541,35.708,2,0.562,1.517,0.89,0.493,69.474,8.598,1.648,1,20.488,1,46.692,10.84,83.494,8.638,6.532,4.339,5.755,4.592,63.334,13.017,5.971,56.676,0,0,13.001,67.023,0.0,52.131
34,Turkey,Developing,20.82,74.61,52.36,20,Female,Rural,Low,Shared Device,5.917,Graduate,Social Sciences,7.942,9.442,2.929,7.564,31.072,1,0.584,1.599,0.746,0.791,59.26,6.595,4.525,0,6.876,1,60.0,33.043,98.853,10.0,5.72,4.298,2.538,2.772,77.388,9.527,5.224,31.521,0,0,10.191,58.588,0.0,53.026
35,Saudi Arabia,Developing,18.41,63.7,33.33,23,Male,Rural,Low,Smartphone,5.069,Diploma,STEM,3.253,3.229,3.289,7.526,35.66,1,0.473,1.002,1.814,0.593,64.269,6.119,6.311,0,18.736,1,50.903,17.047,96.624,9.484,5.54,3.157,2.515,4.961,81.401,16.085,4.942,29.927,1,0,14.355,59.397,0.0,54.605
36,South Korea,Developed,5.58,76.77,149.77,17,Female,Urban,Middle,Smartphone,4.195,Diploma,Business,5.584,5.991,2.012,7.168,19.303,3,0.279,0.83,0.903,0.571,49.756,1.756,3.803,2,8.397,1,60.0,26.96,87.904,9.818,7.306,3.506,3.245,2.842,70.772,9.302,5.153,65.854,1,0,5.166,75.324,0.0,30.462
37,Ethiopia,Underdeveloped,38.66,23.59,24.25,16,Male,Rural,Middle,Smartphone,4.925,School,NA,4.814,6.738,3.7,10.07,40.458,2,0.388,1.893,1.419,0.357,58.2,10.397,3.765,1,15.995,1,54.296,26.29,100.0,9.451,6.021,4.015,3.876,2.468,105.377,10.714,6.323,75.008,0,0,13.919,65.697,0.0,44.89
38,Qatar,Developing,16.3,54.93,27.19,22,Male,Urban,Middle,Smartphone,4.556,Diploma,Medicine,4.296,4.769,2.093,5.649,22.618,2,0.336,1.072,0.685,0.188,29.769,4.507,3.881,1,11.049,1,53.656,24.682,99.091,10.0,7.164,3.389,3.385,1.954,76.707,7.733,4.481,42.094,0,0,6.09,68.295,0.0,29.333
39,Kenya,Underdeveloped,48.2,34.17,24.44,16,Male,Rural,Low,Smartphone,3.82,School,NA,5.142,5.357,1.748,6.511,30.29,1,0.231,0.966,0.551,0.482,60.909,1.982,2.312,0,11.565,1,53.725,22.211,88.504,10.0,6.383,5.266,5.542,5.172,55.357,10.907,4.267,29.094,1,0,6.936,50.574,0.0,37.701
40,Nigeria,Underdeveloped,55.53,46.62,12.27,20,Male,Rural,Middle,Both,5.325,Graduate,Medicine,5.021,6.696,3.515,11.689,38.67,2,0.664,1.21,1.641,0.468,108.185,12.833,5.632,1,22.318,1,46.207,19.745,97.365,5.008,6.026,3.137,4.714,2.558,100.021,10.004,6.475,91.366,0,1,15.431,74.896,0.0,43.153
41,Brazil,Developing,25.5,69.07,31.19,18,Female,Rural,Low,Shared Device,5.775,School,NA,4.236,6.099,1.83,6.406,17.813,1,0.337,1.024,0.469,0.657,42.948,7.279,1.509,0,22.06,1,52.412,19.06,89.619,9.794,7.631,5.117,3.522,2.564,58.499,6.565,3.59,40.516,0,0,7.028,64.863,0.0,41.135
42,Kenya,Underdeveloped,48.2,34.17,24.44,22,Male,Rural,Middle,Laptop,3.655,Postgraduate,STEM,5.481,3.276,2.135,6.043,22.123,2,0.738,0.806,0.592,0.605,35.647,6.715,2.718,1,14.562,1,57.001,18.724,96.464,8.965,6.71,3.515,2.427,6.334,59.854,12.308,5.964,69.539,0,1,10.437,56.144,0.0,45.796
43,USA,Developed,8.75,94.39,85.34,21,Female,Urban,Middle,Smartphone,6.522,Graduate,Business,6.118,9.437,3.068,8.225,31.78,3,0.735,1.238,1.095,0.788,59.922,6.406,2.612,2,19.439,1,52.367,28.429,94.093,10.0,4.922,4.781,6.163,5.098,79.792,13.023,4.347,69.235,0,1,17.753,52.146,0.0,39.424
44,Denmark,Developed,5.21,82.77,129.26,23,Male,Urban,High,Both,6.628,Graduate,Business,5.717,6.815,3.664,10.259,43.793,1,0.576,1.66,1.428,0.515,44.275,10.214,6.668,0,8.832,1,56.039,24.691,92.798,10.0,5.769,4.565,5.459,4.783,119.157,12.751,6.483,117.614,0,0,9.74,62.048,0.0,32.692
45,Chile,Developing,25.28,47.22,71.64,22,Male,Urban,Middle,Smartphone,4.003,Graduate,Social Sciences,5.629,7.251,2.875,9.62,34.289,2,0.551,1.001,1.323,0.666,77.661,5.459,1.696,1,19.781,1,47.89,26.962,86.041,9.456,6.801,3.167,3.806,2.589,74.913,7.274,6.88,64.609,0,0,11.681,79.127,0.0,45.023
46,Philippines,Developing,24.12,66.21,33.68,25,Male,Urban,High,Shared Device,4.326,Diploma,Business,6.73,6.083,3.563,8.919,34.596,3,0.653,1.53,1.38,0.374,87.497,5.512,5.442,2,14.215,1,56.666,27.528,93.131,10.0,4.916,3.901,4.656,2.782,84.487,12.16,6.977,120.423,0,1,15.872,67.71,0.0,41.84
47,Ghana,Underdeveloped,40.55,23.24,10.57,17,Male,Urban,Middle,Smartphone,3.095,School,NA,5.785,5.343,3.416,11.728,38.412,2,0.42,1.553,1.444,0.455,63.951,2.612,2.669,1,22.111,1,55.559,18.689,84.7,7.86,6.551,3.07,3.729,4.106,106.181,13.902,6.665,69.993,1,0,11.923,73.368,0.0,41.624
48,Malaysia,Developing,20.84,45.17,39.08,15,Male,Urban,High,Smartphone,4.585,School,NA,4.102,6.093,2.679,8.781,30.51,3,0.286,0.823,1.57,0.617,53.781,3.399,2.386,2,22.473,1,48.509,20.44,93.458,8.073,6.044,6.762,7.52,5.297,80.46,10.132,8.147,119.82,0,0,13.16,60.407,0.0,41.905
49,UAE,Developing,27.15,70.89,45.04,23,Male,Urban,Low,Shared Device,5.855,Diploma,STEM,4.869,5.99,3.506,9.792,32.387,2,0.641,1.765,1.1,0.425,86.899,3.946,3.477,1,19.507,1,53.222,24.637,86.301,8.174,6.494,3.875,4.667,5.438,111.307,11.628,3.382,41.004,0,0,14.604,59.536,0.0,34.383
50,Romania,Developing,15.93,48.48,50.64,17,Female,Urban,Low,Smartphone,3.721,Dropout,NA,1.963,2.76,2.76,6.451,37.241,2,0.532,1.355,0.872,0.535,29.035,2.662,4.547,1,14.89,1,50.431,14.331,85.382,9.081,5.02,4.469,6.647,4.561,93.558,11.422,4.866,32.413,0,0,9.732,57.867,0.0,35.564
51,Tanzania,Underdeveloped,49.86,41.4,10.04,21,Female,Rural,Low,Smartphone,4.999,Diploma,Law,4.148,4.704,3.747,10.333,43.378,1,0.703,1.522,1.521,0.601,72.281,4.866,4.592,0,10.388,1,55.423,22.022,94.758,10.0,5.924,4.196,4.316,6.512,104.523,13.517,5.284,25.191,0,0,10.179,53.834,0.0,41.127
52,Oman,Developing,34.31,54.33,76.57,23,Female,Urban,Low,Shared Device,3.651,Graduate,Social Sciences,5.968,6.655,2.002,6.215,24.359,2,0.557,0.965,0.48,0.709,50.315,2.31,3.353,1,18.432,1,53.454,22.14,89.797,7.293,5.9,6.138,3.509,4.93,70.15,10.411,3.333,35.819,0,1,9.395,49.189,0.0,32.91
53,South Korea,Developed,5.58,76.77,149.77,20,Female,Urban,Middle,Smartphone,4.15,Graduate,Medicine,7.187,7.442,3.21,8.461,41.759,2,0.928,1.269,1.013,0.76,38.369,1.779,6.316,1,16.555,1,58.002,29.45,98.664,9.903,6.568,5.387,4.09,6.684,79.52,8.228,3.99,47.711,0,0,13.14,46.503,0.0,29.173
54,China,Developing,18.67,61.28,72.29,15,Male,Rural,Middle,Both,5.686,School,NA,3.387,5.141,3.082,8.639,37.894,3,0.193,1.248,1.641,0.371,47.242,8.904,4.364,2,26.911,1,50.916,16.583,87.927,6.629,6.546,3.938,4.183,4.884,83.614,10.312,5.922,63.646,0,0,16.9,65.283,0.0,46.85
55,Vietnam,Developing,30.7,66.87,45.63,23,Female,Rural,Middle,Laptop,6.528,Graduate,Business,5.971,9.322,3.257,8.717,33.67,2,0.561,1.904,0.792,0.748,82.413,3.353,3.918,1,17.838,1,53.181,29.71,84.957,10.0,5.953,5.918,6.335,7.23,90.236,12.466,5.631,75.617,0,0,10.949,50.038,0.0,45.944
56,Peru,Underdeveloped,50.6,32.83,15.05,25,Male,Urban,Middle,Smartphone,3.669,Graduate,STEM,7.718,7.031,4.317,11.526,33.661,2,1.032,1.601,1.684,0.99,106.385,6.614,7.679,1,19.395,1,54.484,28.233,100.0,8.383,5.06,6.005,5.985,8.029,124.343,16.469,5.405,62.739,0,0,13.083,40.229,0.0,33.293
57,Morocco,Underdeveloped,51.4,20.76,6.03,23,Female,Urban,Low,Smartphone,1.102,Diploma,Business,5.895,3.397,1.462,5.047,21.639,2,0.255,0.569,0.639,0.299,23.095,5.541,2.651,1,14.942,1,57.491,28.1,92.532,10.0,7.205,3.93,4.397,3.455,47.327,7.281,4.298,17.78,0,0,11.67,72.703,0.0,36.83
58,Canada,Developed,14.51,90.5,188.19,23,Male,Rural,Middle,Smartphone,6.599,Dropout,NA,2.548,4.425,3.781,10.247,51.445,1,0.592,1.994,1.195,0.387,46.632,3.419,6.178,0,19.135,1,46.29,18.088,89.185,7.594,5.681,5.207,4.977,5.778,99.194,15.606,7.28,89.378,0,0,14.77,60.159,0.0,48.284
59,USA,Developed,8.75,94.39,85.34,24,Male,Urban,Middle,Smartphone,6.868,Diploma,Medicine,8.213,11.363,3.072,10.149,37.144,2,0.268,0.927,1.876,0.479,93.374,6.64,3.07,1,23.124,1,58.481,32.897,99.584,9.353,5.453,4.752,5.043,3.156,105.838,13.248,6.709,66.276,0,0,18.171,58.632,0.0,47.671
60,Peru,Underdeveloped,50.6,32.83,15.05,18,Male,Rural,High,Smartphone,2.711,Diploma,Law,4.974,5.692,0.895,3.399,18.295,1,0.147,0.283,0.465,0.369,29.192,3.012,0.791,0,2.273,1,60.0,20.959,95.645,10.0,7.609,1.532,1.371,3.662,36.903,6.389,4.381,92.737,0,0,5.107,67.034,0.0,30.347
61,Netherlands,Developed,14.7,80.43,107.41,19,Female,Rural,Middle,Smartphone,6.693,Diploma,Law,4.768,6.546,4.567,14.662,42.127,3,0.771,2.703,1.092,0.814,73.75,15.462,8.503,2,32.29,2,47.365,17.137,88.238,4.514,4.697,7.155,7.552,8.585,137.856,20.534,7.406,71.115,0,1,18.307,38.98,0.0,55.121
62,France,Developed,6.56,86.96,234.29,16,Male,Urban,Low,Smartphone,6.525,School,NA,7.588,9.738,6.037,16.262,65.672,3,0.633,3.615,1.789,0.359,98.243,7.604,8.243,2,34.514,2,47.759,31.627,98.161,8.745,4.0,6.12,6.489,6.074,140.336,11.401,7.114,50.439,0,0,24.607,43.301,0.0,74.269
63,Pakistan,Underdeveloped,44.14,41.89,15.38,15,Female,Rural,Low,Smartphone,4.161,School,NA,4.877,5.761,4.219,11.989,51.933,3,0.832,1.863,1.524,0.793,91.497,8.407,3.52,2,24.015,1,51.171,21.667,93.237,7.423,5.267,5.536,4.468,8.545,117.758,13.751,5.949,40.613,0,1,19.83,47.679,0.0,52.112
64,Saudi Arabia,Developing,18.41,63.7,33.33,23,Male,Urban,Middle,Laptop,4.797,Dropout,NA,3.394,3.464,4.123,11.635,48.41,3,0.257,1.898,1.969,0.436,75.917,11.167,3.914,2,24.183,1,47.568,11.921,82.009,6.208,6.133,5.484,4.881,5.259,122.468,17.673,5.798,57.59,0,0,15.726,50.441,0.0,43.653
65,Sweden,Developed,11.01,75.9,118.9,20,Female,Urban,Middle,Smartphone,6.118,Diploma,Law,6.441,8.824,3.003,8.602,28.34,3,0.592,1.626,0.784,0.542,44.675,5.398,4.176,2,19.399,1,52.826,25.151,88.345,8.367,6.916,4.116,6.793,5.523,96.554,14.711,4.75,59.393,0,0,15.689,59.887,0.0,20.121
66,Ethiopia,Underdeveloped,38.66,23.59,24.25,19,Male,Rural,Middle,Smartphone,4.388,Dropout,NA,1.966,3.99,2.956,10.93,30.987,3,0.444,1.671,0.84,0.312,55.428,5.188,1.667,2,14.779,1,44.348,16.562,81.366,8.934,6.622,4.013,4.314,4.483,84.426,13.801,5.948,66.881,0,0,12.127,65.508,0.0,44.431
67,Oman,Developing,34.31,54.33,76.57,23,Male,Rural,High,Smartphone,4.566,PhD,Arts,7.354,7.191,2.732,7.464,32.949,2,0.821,1.222,0.689,0.899,30.597,1.787,2.263,1,16.384,1,60.0,28.321,93.382,10.0,7.287,3.368,4.373,2.855,79.18,11.585,4.434,81.046,0,0,14.373,66.464,0.0,29.734
68,Mexico,Developing,23.64,47.24,73.55,15,Female,Urban,Middle,Smartphone,2.555,School,NA,3.409,4.504,1.615,6.354,21.31,1,0.259,0.877,0.479,0.401,30.82,1.477,1.181,0,12.264,1,51.202,19.995,92.883,9.991,7.691,2.597,3.026,1.0,50.985,5.56,3.96,51.201,0,0,10.352,76.234,0.0,25.736
69,Peru,Underdeveloped,50.6,32.83,15.05,16,Female,Rural,Low,Shared Device,3.407,School,NA,1.686,5.332,1.927,6.743,21.977,2,0.289,0.881,0.757,0.579,65.679,7.815,1.627,1,7.019,1,43.244,21.839,90.204,10.0,5.925,5.424,4.36,2.131,73.788,9.974,5.72,48.008,0,1,6.823,55.957,0.0,52.126
70,China,Developing,18.67,61.28,72.29,18,Female,Rural,Middle,Smartphone,3.99,School,NA,5.627,5.563,1.505,4.516,19.633,2,0.126,0.55,0.829,0.337,35.168,3.703,2.957,1,8.296,1,60.0,26.367,89.293,10.0,6.77,3.552,3.615,4.96,46.412,4.454,2.293,30.948,0,0,7.468,55.179,0.0,13.716
71,UK,Developed,12.32,93.79,133.44,24,Male,Urban,Middle,Smartphone,7.995,Dropout,NA,1.489,4.804,7.021,20.091,78.178,4,0.994,2.676,3.351,0.614,129.813,11.999,8.113,3,37.504,2,47.332,9.608,76.835,7.17,4.0,5.696,5.446,6.382,199.947,24.424,7.83,86.103,0,1,30.387,51.583,5.256,48.419
72,Turkey,Developing,20.82,74.61,52.36,23,Male,Urban,Middle,Smartphone,5.074,Diploma,Business,8.171,9.043,4.329,13.943,42.604,2,0.513,1.368,2.447,0.295,75.554,4.07,7.414,1,24.339,1,57.288,30.193,93.239,10.0,5.208,6.368,7.461,5.736,134.811,16.777,6.163,72.729,0,0,17.164,37.368,0.0,52.513
73,South Africa,Developing,22.33,69.46,26.6,16,Female,Rural,High,Shared Device,6.17,School,NA,7.444,9.35,4.183,11.102,50.18,3,0.825,2.153,1.206,0.614,70.496,3.021,2.543,2,27.804,1,55.845,33.847,90.439,8.719,4.8,7.56,8.172,7.003,111.002,16.371,6.454,110.625,0,0,19.553,45.338,0.0,34.386
74,Qatar,Developing,16.3,54.93,27.19,16,Male,Urban,Low,Shared Device,7.118,School,NA,2.455,6.319,5.803,16.663,63.171,3,0.962,2.112,2.729,0.501,100.925,9.605,7.344,2,33.476,2,46.42,16.382,79.55,7.564,4.981,7.688,8.19,8.861,175.091,23.766,7.925,56.275,1,0,23.368,34.933,0.0,67.439
